SR750/760 - V401,ADDRESS,SETPOINT,Relay Setting Category,Info Name
Device Information,DEVICE NAME,,,Device Name
Device Information,COMMENT,,,Comment
Device Information,VERSION,,,Version
Device Information,MOD NUMBER,,,Mod Number
Device Information,OPTIONS,,,Options
Device Information,DATE,,,Date
Setpoint Information,0091,S8,VIRTUAL INPUTS,Virtual Input 1
Setpoint Information,0092,S8,VIRTUAL INPUTS,Virtual Input 2
Setpoint Information,0093,S8,VIRTUAL INPUTS,Virtual Input 3
Setpoint Information,0094,S8,VIRTUAL INPUTS,Virtual Input 4
Setpoint Information,0095,S8,VIRTUAL INPUTS,Virtual Input 5
Setpoint Information,0096,S8,VIRTUAL INPUTS,Virtual Input 6
Setpoint Information,0097,S8,VIRTUAL INPUTS,Virtual Input 7
Setpoint Information,0098,S8,VIRTUAL INPUTS,Virtual Input 8
Setpoint Information,0099,S8,VIRTUAL INPUTS,Virtual Input 9
Setpoint Information,009A,S8,VIRTUAL INPUTS,Virtual Input 10
Setpoint Information,009B,S8,VIRTUAL INPUTS,Virtual Input 11
Setpoint Information,009C,S8,VIRTUAL INPUTS,Virtual Input 12
Setpoint Information,009D,S8,VIRTUAL INPUTS,Virtual Input 13
Setpoint Information,009E,S8,VIRTUAL INPUTS,Virtual Input 14
Setpoint Information,009F,S8,VIRTUAL INPUTS,Virtual Input 15
Setpoint Information,00A0,S8,VIRTUAL INPUTS,Virtual Input 16
Setpoint Information,00A1,S8,VIRTUAL INPUTS,Virtual Input 17
Setpoint Information,00A2,S8,VIRTUAL INPUTS,Virtual Input 18
Setpoint Information,00A3,S8,VIRTUAL INPUTS,Virtual Input 19
Setpoint Information,00A4,S8,VIRTUAL INPUTS,Virtual Input 20
Setpoint Information,0180,,USER MAP ADDRESSES,User Map Address #1
Setpoint Information,0181,,USER MAP ADDRESSES,User Map Address #2
Setpoint Information,0182,,USER MAP ADDRESSES,User Map Address #3
Setpoint Information,0183,,USER MAP ADDRESSES,User Map Address #4
Setpoint Information,0184,,USER MAP ADDRESSES,User Map Address #5
Setpoint Information,0185,,USER MAP ADDRESSES,User Map Address #6
Setpoint Information,0186,,USER MAP ADDRESSES,User Map Address #7
Setpoint Information,0187,,USER MAP ADDRESSES,User Map Address #8
Setpoint Information,0188,,USER MAP ADDRESSES,User Map Address #9
Setpoint Information,0189,,USER MAP ADDRESSES,User Map Address #10
Setpoint Information,018A,,USER MAP ADDRESSES,User Map Address #11
Setpoint Information,018B,,USER MAP ADDRESSES,User Map Address #12
Setpoint Information,018C,,USER MAP ADDRESSES,User Map Address #13
Setpoint Information,018D,,USER MAP ADDRESSES,User Map Address #14
Setpoint Information,018E,,USER MAP ADDRESSES,User Map Address #15
Setpoint Information,018F,,USER MAP ADDRESSES,User Map Address #16
Setpoint Information,0190,,USER MAP ADDRESSES,User Map Address #17
Setpoint Information,0191,,USER MAP ADDRESSES,User Map Address #18
Setpoint Information,0192,,USER MAP ADDRESSES,User Map Address #19
Setpoint Information,0193,,USER MAP ADDRESSES,User Map Address #20
Setpoint Information,0194,,USER MAP ADDRESSES,User Map Address #21
Setpoint Information,0195,,USER MAP ADDRESSES,User Map Address #22
Setpoint Information,0196,,USER MAP ADDRESSES,User Map Address #23
Setpoint Information,0197,,USER MAP ADDRESSES,User Map Address #24
Setpoint Information,0198,,USER MAP ADDRESSES,User Map Address #25
Setpoint Information,0199,,USER MAP ADDRESSES,User Map Address #26
Setpoint Information,019A,,USER MAP ADDRESSES,User Map Address #27
Setpoint Information,019B,,USER MAP ADDRESSES,User Map Address #28
Setpoint Information,019C,,USER MAP ADDRESSES,User Map Address #29
